year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2007,12,19,  ,  ,     ,33.108,132.774,33.0,6.1,260.0,32.0,130.0,73,41,0.017,518400.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007,8,27,  ,  ,     ,33.629,133.05099,24.0,5.8,217.0,20.0,92.0,71,23,0.008,604800.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007,3,13,  ,  ,     ,33.544,132.94701,25.0,5.7,240.0,20.0,113.0,55,18,0.012,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,4,15,  ,  ,     ,33.45,132.858,33.0,6.0,231.0,16.0,105.0,62,37,0.013,432000.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,9,8,  ,  ,     ,33.383,132.92,40.0,6.2,250.0,20.0,123.0,71,39,0.026,777600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2005,10,23,  ,  ,     ,33.393,132.85001,24.0,5.7,234.0,28.0,107.0,62,21,0.01,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2005,5,14,  ,  ,     ,33.609,132.931,26.0,5.8,237.0,19.0,111.0,55,39,0.006,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,12,27,  ,  ,     ,33.403,132.869,22.0,5.9,233.0,29.0,106.0,62,47,0.008,432000.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2005,5,12,  ,  ,     ,33.255,132.687,28.0,6.0,237.0,33.0,108.0,66,42,0.011,172800.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,4,19,  ,  ,     ,33.395,132.923,28.0,6.0,248.0,25.0,121.0,75,44,0.01,604800.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,2,10,  ,  ,     ,33.172,132.56599,42.0,6.0,235.0,28.0,118.0,28,47,0.021,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,11,7,  ,  ,     ,33.324,132.923,45.0,6.2,243.0,38.0,104.0,66,44,0.024,518400.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,11,19,  ,  ,     ,33.682,133.34599,30.0,5.9,247.0,12.0,121.0,66,28,0.014,518400.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,8,30,  ,  ,     ,33.373,132.83701,32.0,6.0,245.0,10.0,103.0,28,39,0.026,432000.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,4,17,  ,  ,     ,33.166,132.47099,28.0,5.9,248.0,15.0,123.0,44,36,0.014,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,8,27,  ,  ,     ,33.222,132.62801,22.0,5.9,250.0,45.0,130.0,80,20,0.013,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002,8,9,  ,  ,     ,33.599,133.12601,28.0,5.7,237.0,25.0,110.0,62,18,0.012,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002,8,6,  ,  ,     ,33.438,132.83501,29.0,5.8,221.0,23.0,95.0,48,36,0.009,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002,2,10,  ,  ,     ,33.489,133.17,28.0,5.9,250.0,22.0,123.0,64,33,0.011,432000.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002,2,15,  ,  ,     ,33.424,132.907,34.0,6.0,242.0,25.0,115.0,62,31,0.015,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2001,8,18,  ,  ,     ,33.729,133.27901,38.0,5.9,235.0,16.0,110.0,80,36,0.007,172800.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2001,8,16,  ,  ,     ,33.517,132.869,26.0,5.9,226.0,1.0,101.0,53,47,0.01,172800.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2001,1,4,  ,  ,     ,33.528,133.004,19.0,5.9,223.0,22.0,97.0,71,44,0.008,691200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2019,12,11,  ,  ,     ,34.002,138.345,3.892,6.09,222.0,10.1,97.2,58,30,0.025,604800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2019,10,10,  ,  ,     ,36.007,137.52499,77.004,6.28,282.5,24.4,153.6,67,33,0.038,86400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2019,4,4,  ,  ,     ,33.386,136.304,12.584,5.66,271.1,18.5,124.0,113,51,0.002,432000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2019,1,30,  ,  ,     ,33.842,134.51801,25.439,5.6,274.9,13.5,134.3,54,21,0.007,259200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018,11,19,  ,  ,     ,32.425,131.91499,28.416,5.95,202.2,25.8,96.8,50,25,0.021,1555200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018,10,12,  ,  ,     ,34.962,138.578,12.147,5.63,224.4,14.2,80.6,118,31,0.002,518400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018,6,14,  ,  ,     ,33.851,134.04201,25.329,5.67,255.2,7.8,129.7,59,29,0.006,86400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018,6,10,  ,  ,     ,33.225,132.125,34.086,6.03,202.8,39.0,97.4,98,35,0.01,2246400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018,1,14,  ,  ,     ,34.773,136.23,40.78,5.81,201.0,33.6,95.0,52,34,0.009,1814400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2017,10,22,  ,  ,     ,33.407,132.399,28.507,5.85,202.0,26.0,64.8,43,36,0.012,1900800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2017,9,13,  ,  ,     ,33.77,133.453,26.472,5.73,237.8,8.0,100.3,23,39,0.014,1296000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2017,7,17,  ,  ,     ,34.712,138.01199,18.523,5.54,242.4,13.1,127.9,82,40,0.002,259200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2017,6,11,  ,  ,     ,32.136,131.629,30.106,6.14,197.2,37.7,77.2,132,44,0.009,2505600.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2017,2,3,  ,  ,     ,34.956,138.495,8.963,5.48,204.9,16.2,75.2,57,28,0.003,3456000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2016,12,31,  ,  ,     ,33.91,132.133,52.092,6.0,199.5,48.9,89.0,59,34,0.016,1641600.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2016,12,31,  ,  ,     ,31.694,131.59801,26.844,5.91,197.0,29.6,61.4,82,34,0.008,864000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2016,9,20,  ,  ,     ,34.4,134.662,47.529,5.79,303.2,20.4,143.4,38,27,0.015,1468800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2016,7,18,  ,  ,     ,33.803,134.444,24.013,5.66,275.0,14.0,155.3,51,35,0.005,1123200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2016,6,19,  ,  ,     ,34.206,134.836,42.469,6.01,299.2,20.8,140.3,87,28,0.013,3110400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2016,5,31,  ,  ,     ,34.874,138.5,7.777,5.45,207.6,16.6,83.7,43,43,0.003,3024000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2016,5,24,  ,  ,     ,34.728,132.314,79.477,6.23,203.6,66.6,69.9,83,29,0.029,1814400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2016,1,3,  ,  ,     ,33.767,134.34599,24.231,5.72,263.9,7.6,115.3,66,33,0.005,1382400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,11,22,  ,  ,     ,33.925,135.812,40.193,5.81,280.9,27.3,142.4,82,33,0.006,86400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,10,27,  ,  ,     ,34.382,136.43401,30.853,5.76,214.5,15.9,102.6,37,26,0.015,345600.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,10,13,  ,  ,     ,31.628,132.44,7.164,6.01,209.9,19.6,97.8,47,30,0.023,1209600.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,9,2,  ,  ,     ,33.328,132.586,27.56,5.82,202.4,11.2,69.9,27,42,0.015,432000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,8,20,  ,  ,     ,35.195,137.80299,33.34,5.72,260.7,22.2,156.4,50,31,0.008,259200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,7,23,  ,  ,     ,32.141,131.946,22.815,5.86,199.7,19.9,64.3,64,33,0.009,432000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,7,20,  ,  ,     ,33.407,137.328,4.551,6.35,237.9,7.3,79.2,51,30,0.069,1209600.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,5,8,  ,  ,     ,34.919,136.908,30.461,5.72,220.1,14.7,89.4,42,34,0.008,172800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,3,13,  ,  ,     ,33.604,135.685,18.722,5.61,269.2,22.9,120.9,16,41,0.013,3024000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,1,27,  ,  ,     ,33.728,134.619,22.917,5.74,265.1,9.8,135.5,61,28,0.008,2419200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2015,1,24,  ,  ,     ,32.223,131.897,24.669,5.78,200.9,26.1,64.0,65,33,0.007,1987200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2014,12,9,  ,  ,     ,34.551,136.651,27.49,5.72,211.2,18.7,97.5,49,28,0.009,604800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2014,10,23,  ,  ,     ,33.952,133.006,29.953,5.79,222.1,9.9,106.3,81,26,0.007,86400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2014,10,4,  ,  ,     ,35.585,138.507,22.541,5.88,224.7,29.2,76.1,10,53,0.037,86400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2014,9,26,  ,  ,     ,33.731,134.125,24.255,5.67,254.1,5.7,129.3,51,35,0.006,259200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2014,8,3,  ,  ,     ,33.635,138.201,3.213,6.41,230.8,4.5,85.5,50,30,0.087,86400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2014,3,3,  ,  ,     ,35.697,138.716,20.785,5.77,217.1,28.8,85.7,68,26,0.008,2851200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013,12,9,  ,  ,     ,35.363,138.202,34.219,5.95,248.8,24.7,101.7,80,56,0.006,518400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013,10,26,  ,  ,     ,33.815,136.041,24.542,5.67,247.8,21.0,122.2,31,37,0.009,172800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013,9,10,  ,  ,     ,34.757,136.978,24.536,5.78,214.5,16.1,56.1,83,28,0.006,432000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013,7,22,  ,  ,     ,33.427,137.364,4.556,6.32,237.7,7.3,120.4,61,30,0.052,691200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013,6,30,  ,  ,     ,33.795,134.429,23.337,5.74,277.0,15.5,157.4,44,41,0.007,86400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013,5,8,  ,  ,     ,34.724,138.394,10.157,5.44,209.6,9.7,90.0,71,18,0.004,432000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013,3,28,  ,  ,     ,33.804,134.364,24.803,5.67,268.1,8.7,147.8,59,25,0.007,1036800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2013,2,3,  ,  ,     ,32.386,131.998,22.789,5.88,200.9,27.2,67.8,107,43,0.004,86400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012,9,28,  ,  ,     ,34.75,136.746,29.177,5.78,211.9,17.6,100.6,52,26,0.011,345600.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012,9,21,  ,  ,     ,34.93,138.46201,9.184,5.4,207.7,17.9,45.7,42,33,0.003,1987200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012,9,2,  ,  ,     ,32.524,132.776,17.434,6.01,219.7,11.1,86.3,39,39,0.021,432000.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012,7,1,  ,  ,     ,35.682,138.58,25.397,6.06,224.2,27.1,109.3,40,39,0.025,3196800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012,4,10,  ,  ,     ,31.264,131.705,19.917,6.01,196.6,19.4,92.0,51,39,0.016,1468800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012,3,16,  ,  ,     ,35.477,137.11,45.871,5.84,268.5,19.7,144.2,62,30,0.01,1814400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012,2,27,  ,  ,     ,35.0,133.651,50.655,5.9,243.3,15.1,115.9,94,35,0.007,2246400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012,2,7,  ,  ,     ,32.229,131.886,23.824,5.96,198.7,27.0,65.7,112,36,0.007,2764800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2012,1,14,  ,  ,     ,34.049,138.448,2.735,6.02,215.4,9.4,62.9,40,31,0.028,1468800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2011,10,7,  ,  ,     ,33.744,134.743,22.982,5.71,278.4,16.4,148.4,48,32,0.007,691200.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05
